ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
,simple,ACG074,GRAGEADO ALMENDRAS SURTIDAS KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,,,
,simple,BPA055,MECATE AMARILLO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,CHA001,QUESO AMARILLO MADURADO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,,,
,simple,CON002,ADOBO PURO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,CON007,AJO MOLIDO CHINO DE PRIMERA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,CON009,CALDO DE CARNE KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,CON011,CARMENCITA AMARILLA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,CPN004,AJONJOLI NATURAL KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,0,,,,,,
,simple,CPN007,AVENA ENTERA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,,,,,,,
,simple,CPN019,CALCIO ORGANICO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Materia prima,,,,,,,,,,,,,,,,,,
,simple,CPN032,GRANOLA CHOCO MIEL KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN034,GRANOLA PROB/ORG KIRKLAND KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Frutos Secos,,,,,,,,,,,,,,,,,,
,simple,CPN039,HARINA DE AVENA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN040,HARINA DE GARBANZO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN041,HARINA DE PLATANO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN042,HARINA DE YUCA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN048,POLVO DE NARANJA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,CPN053,TAMARINDO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,1.71,Condimentos,,,,,,,,,,,,,,,,,,
,simple,CPN062,TRIGO FINO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Granos y semillas,,,,,,,,,,,,,,,,,,
,simple,CPN066,GRANOLA AVENA MIEL KG,1,0,visible,Un postre que puede contribuir a llenar espacios son estas trufas de avenas con chocolates. La avena y el chocolates posee propiedades biológicas como actividad antioxidante.,Un postre que puede contribuir a llenar espacios son estas trufas de avenas con chocolates. La avena y el chocolates posee propiedades biológicas como actividad antioxidante.,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,,,,,,,
,simple,ESP009,CLAVO ESPECIE MOLIDO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Condimentos,,,,,,,,,,,,,,,,,,
,simple,ESP018,SALVIA EN HOJAS KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Infusiones,,,,,,,,,,,,,,,,,,
,simple,ESP024,SARRAPIA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Infusiones,,,,,,,,,,,,,,,,,,
,simple,ESP026,ESTEVIA EN POLVO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Infusiones,,,,,,,,,,,,,,,,,,
,simple,FS001,ALMENDRAS AHUMADAS KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,21.93,Frutos Secos,,,,,,,,,,,,,,,,,,
,simple,FS0023,SNACKS MIXTO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,,,,,,,
,simple,FS022,MANI CON CANELA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Frutos Secos,,,,,,,,,,,,,,,,,,
,simple,FS028,MEREY TOSTADO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Frutos Secos,,,,,,,,,,,,,,,,,,
,simple,FS033,MANI CRUDO ENTERO KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Frutos Secos,,,,,,,,,,,,,,,,,,
,simple,GL002,ARVEJAS VERDES ENTERAS KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Granos y semillas,,,,,,,,,,,,,,,,,,
,simple,GL006,CARAOTA PINTADA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Granos y semillas,,,,,,,,,,,,,,,,,,
,simple,GL007,CARAOTA ROJA CRIOLLA KG,1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Granos y semillas,,,,,,,,,,,,,,,,,,
