749,simple,ABA006,"ABA MULTIPOROPOSITO 35KG",1,0,visible,"Producto alimenticio granulado resultante de la mezcla final de materias primas que pueden contener o no aditivos no nutricionales.","Producto alimenticio granulado resultante de la mezcla final de materias primas que pueden contener o no aditivos no nutricionales.",,,taxable,,1,,,0,1,35,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
750,simple,ACG002,"TORONTO CHOCOLATE 36X9GR",1,0,visible,"Bombones de chocolate y avellana","Bombones de chocolate y avellana",,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
751,simple,ACG003,"BOCADILLO DE GUAYABA GIANVALENTINA 50UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
752,simple,ACG004,"GALLETAS AJONJOLI SILUET PAQ",1,0,visible,"Galletas siluet integrales con ajonjoli Superior 252 g","Galletas siluet integrales con ajonjoli Superior 252 g",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
753,simple,ACG005,"BOCADILLO DE PIÑA 24UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
754,simple,ACG006,"BOCADILLOS DE GUAYABA 12UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
755,simple,ACG007,"GALLETAS AVENA Y MIEL SILUET PAQ",1,0,visible,"Endulzadas con extracto de Stevia para cuidar de ti. Encuéntralas en sus sabores de sal: Ajonjolí, Linaza; y en sus sabores de dulce: Frutos rojos, Manzana verde","Endulzadas con extracto de Stevia para cuidar de ti. Encuéntralas en sus sabores de sal: Ajonjolí, Linaza; y en sus sabores de dulce: Frutos rojos, Manzana verde",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
756,simple,ACG008,"BOCADILLOS DE GUAYABA 24UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
757,simple,ACG009,"BOCADILLOS DE PLATANO 24UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
758,simple,ACG010,"BOLI BULLS FAMILIAR 60GR UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
759,simple,ACG011,"GALLETAS MANZANA SILUET PAQ",1,0,visible,"Endulzadas con extracto de Stevia para cuidar de ti. Encuéntralas en sus sabores de sal: Ajonjolí, Linaza; y en sus sabores de dulce: Frutos rojos, Manzana verde","Endulzadas con extracto de Stevia para cuidar de ti. Encuéntralas en sus sabores de sal: Ajonjolí, Linaza; y en sus sabores de dulce: Frutos rojos, Manzana verde",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
760,simple,ACG012,"BOMBONERA CORAZON DORADO WIMMYS 5UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
761,simple,ACG013,"BOMBONERA CORAZON ROJO WIMMYS 5UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
762,simple,ACG014,"BOMBONERA CORAZON ROJO WIMMYS 8UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
763,simple,ACG015,"BOMBONERA CORAZON DORADO WIMMYS 8UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
764,simple,ACG016,"BOMBONERA ROSA WIMMYS 4UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,"84,66",Víveres,,,,,,,,,,,,0,,,,
765,simple,ACG017,"CARAMELOS BIN BIN KG",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
766,simple,ACG018,"CARAMELOS BOLON KG",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
767,simple,ACG019,"CARAMELOS CHUPIFIESTA BOLON 500GR",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
768,simple,ACG020,"CARAMELOS CHUPIFIESTA BOLON 80UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
769,simple,ACG021,"CARAMELOS SURTIDOS 1KG",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
770,simple,ACG022,"CARAMELOS SURTIDOS 100UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
771,simple,ACG023,"CHEESY BULLS 85G UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
772,simple,ACG024,"CHESSE CRONCH 150G UND",1,0,visible,"Es un snack ideal para comer en casa, en clases o en la oficina.","Es un snack ideal para comer en casa, en clases o en la oficina.",,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
773,simple,ACG026,"RIKITI CHOCO MANI 5X130GR",1,0,visible,"RIKITI® es una barra de chocolate con leche y pedacitos de maní.","RIKITI® es una barra de chocolate con leche y pedacitos de maní.",,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
774,simple,ACG027,"CHOCOLATE BITTER S/AZUCAR 30X30GR",1,0,visible,"Ideales para incorporar en productos horneados y para utilizar como decoración. ","Ideales para incorporar en productos horneados y para utilizar como decoración. ",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
775,simple,ACG028,"CHOCOLATE S/AZUCAR TORRAS 75GR UND",1,0,visible,"Es una opción segura que ofrece diversas propiedades como: menor valor calórico","Es una opción segura que ofrece diversas propiedades como: menor valor calórico",,,taxable,,1,,,0,1,,,,,1,,,"59,37",Repostería,,,,,,,,,,,,0,,,,
776,simple,ACG029,"CHOCOLATE CON LECHE HERSHEY´S CAJA 18UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
777,simple,ACG030,"TOCY BULLS 45G UND",1,0,visible,"Es un snack ideal para comer en casa, en clases o en la oficina.","Es un snack ideal para comer en casa, en clases o en la oficina.",,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
778,simple,ACG031,"CHUPETAS BIG BOM CHOCOLATE Y CARAMELO 48UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
779,simple,ACG032,"CHUPETAS BIG BOM WHITE URBAN 48UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
780,simple,ACG033,"CHUPETAS SURTIDAS OSITOS 24UND",1,0,visible,,,,,taxable,,1,,,0,1,,,,,1,,,,Víveres,,,,,,,,,,,,0,,,,
781,simple,ACG034,"CHOCOLATE LECHE S/AZUCAR 30X30GR",1,0,visible,"Es una opción segura que ofrece diversas propiedades como: menor valor calórico","Es una opción segura que ofrece diversas propiedades como: menor valor calórico",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
782,simple,ACG035,"CHOCOLATE BLANCO S/AZUCAR 30X30GR",1,0,visible,"Ideales para incorporar en productos horneados y para utilizar como decoración. ","Ideales para incorporar en productos horneados y para utilizar como decoración. ",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
783,simple,ACG036,"GALAK CHOC BLANCO 5X130GR",1,0,visible,"Es una tableta de chocolate blanco con leche.","Es una tableta de chocolate blanco con leche.",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
784,simple,ACG038,"SAVOY CHOC CON LECHE 5X130GR",1,0,visible,"Es una tableta de chocolate con leche en formato familiar o para el consumo en el hogar ideal para compartir, hecho con cacao 100% venezolano","Es una tableta de chocolate con leche en formato familiar o para el consumo en el hogar ideal para compartir, hecho con cacao 100% venezolano",,,taxable,,1,,,0,1,,,,,1,,,,Repostería,,,,,,,,,,,,0,,,,
